Feature,Importance1800_1899,Importance1900_1999,importance_change
men,0.0621148776343487,0.0357840406256872,0.026330837008661498
power,0.0565224222608105,0.0309116422714338,0.025610779989376702
majesty,0.0501289763628205,0.025711378799696,0.0244175975631245
authority,0.0247391523171459,0.0490150865134111,0.024275934196265198
think,0.071525771090162,0.0955922272318704,0.024066456141708395
years,0.0697104480674411,0.092829576865975,0.023119128798533894
home,0.0239965008154745,0.0470617024065524,0.0230652015910779
shall,0.0393153913665797,0.0623319661914049,0.0230165748248252
point,0.0426079265792651,0.0655673677820038,0.022959441202738698
matter,0.0581814648356453,0.0806742812140558,0.022492816378410503
way,0.043011189751331,0.0654301335243048,0.022418943772973793
policy,0.0242013261436304,0.0464305911656922,0.022229265022061802
year,0.0760672723890872,0.0974755802811639,0.021408307892076706
000,0.065736155369563,0.044629578671018,0.021106576698544995
course,0.0613896852562831,0.0403207556683814,0.0210689295879017
like,0.0308668788705012,0.0514778176470263,0.020610938776525103
trade,0.0353100129120377,0.0556796811009351,0.020369668188897405
right,0.177511593855357,0.1579451528371784,0.019566441018178615
respect,0.0450952129446681,0.0256667984590132,0.019428414485654903
possible,0.0290758282879152,0.0482785128248162,0.019202684536900997
education,0.028371927524003,0.047322364323903,0.0189504367999
scotland,0.0287415499457065,0.047052719800594,0.0183111698548875
view,0.0334044134453062,0.0515200691639421,0.018115655718635895
lords,0.0247285065100692,0.04204824386984,0.017319737359770798
committee,0.0981419921110738,0.0808527689213418,0.017289223189732
large,0.0426705239248762,0.0261212517826901,0.0165492721421861
know,0.0403842303970816,0.0566697638910248,0.016285533493943204
necessary,0.0489340909765303,0.0327116566987793,0.016222434277751004
regard,0.0500783023211353,0.0344531178428399,0.015625184478295397
answer,0.023794230481017,0.0391586726086424,0.015364442127625399
deal,0.0228016154291844,0.0379481832834605,0.015146567854276101
government,0.2097585951552832,0.2247818959167586,0.0150233007614754
say,0.103827704754604,0.0889600698325297,0.014867634922074296
believe,0.0290421875375528,0.0436992135760967,0.014657026038543897
commission,0.0245832977015428,0.0380689494302356,0.013485651728692802
place,0.0580486051633279,0.0446701667423859,0.013378438420942003
effect,0.0425355350911435,0.0292433727314792,0.013292162359664302
act,0.0791026049027993,0.0658478247013739,0.013254780201425398
member,0.1591181942204975,0.1461701208375014,0.012948073382996111
increase,0.0233645657074009,0.0360184201033815,0.012653854395980602
members,0.0694012938299334,0.0809059991788735,0.011504705348940103
position,0.0290417617052697,0.0399589562617206,0.0109171945564509
support,0.0287849848385794,0.0391423708422733,0.010357386003693902
taken,0.0633646953851547,0.0530592553293823,0.0103054400557724
board,0.0444202687760045,0.0543539149992862,0.009933646223281696
tax,0.0255840035667537,0.0347838108177556,0.009199807251001897
amendment,0.0425278701100482,0.0514304094489122,0.008902539338864
order,0.0493254308446703,0.0580174874739056,0.0086920566292353
clause,0.0448537660401682,0.036881581998169,0.007972184041999196
land,0.037190062441785,0.0292683244146972,0.007921738027087802
hon,0.3617381369824209,0.3542471975289281,0.007490939453492829
important,0.0290025851352274,0.0363580956842557,0.007355510549028301
public,0.0770913990298669,0.0697515987131052,0.007339800316761708
reason,0.0313301843944797,0.0240441073270702,0.0072860770674095035
chancellor,0.0261346047087613,0.0332499476780686,0.007115342969307305
consider,0.0261495088386687,0.0331629494759152,0.007013440637246501
quite,0.0275722144964004,0.0337541380236267,0.0061819235272263
general,0.0647465211437119,0.0586665639266828,0.006079957217029107
war,0.0357498976604474,0.0416305526927709,0.005880655032323497
able,0.0289203995045952,0.0347144451384096,0.005794045633814401
pay,0.0285047871963204,0.0340046529231353,0.0054998657268148995
long,0.030225149619917,0.0354220748744717,0.005196925254554702
certain,0.0395947373442726,0.0345359574311236,0.005058779913149
period,0.0259267985546239,0.0304678349992632,0.004541036444639299
small,0.022357898190227,0.0268330401326218,0.004475141942394803
foreign,0.0270475891236601,0.0314446102249699,0.004397021101309802
money,0.0389470464417255,0.0347869713642965,0.004160075077429
day,0.0410314954673456,0.0375536139995068,0.0034778814678387976
party,0.026325377571576,0.0296642244550893,0.0033388468835133
office,0.0398732316573994,0.0429626398875017,0.0030894082301023
speech,0.0278115322394849,0.0248969558594609,0.0029145763800240004
paid,0.0276893183742443,0.024933551661514,0.002755766712730298
time,0.1201336745378619,0.1174321028634637,0.0027015716743982038
cases,0.0337267684835891,0.0360678244361531,0.0023410559525640015
received,0.0323355744148044,0.034590185755984,0.002254611341179602
come,0.0367356993957509,0.0387524592058536,0.0020167598101027
given,0.0613147387744631,0.063030280632399,0.0017155418579359039
result,0.0246910332691592,0.0263943895416496,0.0017033562724904014
far,0.0444223979374199,0.0429719551825698,0.0014504427548501023
wish,0.0240965714019956,0.0251293392024978,0.0010327678005021997
fact,0.043372295527373,0.0440239181470401,0.0006516226196670999
good,0.0404485310718249,0.0408181258871933,0.00036959481536839867
second,0.0279899559660906,0.0277870261543228,0.0002029298117677998
